zFisherPearsonR,model,subjId,studyId
0.564815998518133,region,1,1
1.57964656195147,region,4,1
0.554950395054083,region,5,1
1.3233253476569,region,6,1
0.851977443748896,region,7,1
0.67682391981603,region,9,1
1.27186170915594,region,12,1
0.967637656494829,region,15,1
1.28554110432471,region,16,1
0.713383977716367,region,17,1
1.29285438748153,region,18,1
1.26124188080732,region,19,1
1.59542543318476,region,20,1
-0.570636368541075,region,22,1
0.631198462260265,region,23,1
1.35512845600018,region,25,1
0.591863943448807,region,28,2
0.638563906274967,region,29,2
1.20363090607714,region,30,2
0.681953495970831,region,31,2
-0.896243960228856,region,32,2
0.838772619998855,region,34,2
1.81982112935943,region,35,2
0.0296382806867921,region,36,2
1.50906262988592,region,37,2
2.18325691029679,region,38,2
-0.0506724866177405,region,39,2
-0.248339799440915,region,40,2
0.10885048571323,region,41,2
0.442547507092776,region,42,2
0.0248648564523655,region,43,2
1.11466705201994,region,44,2
1.2676772974231,region,45,3
1.18362216539047,region,46,3
-0.638229874570587,region,47,3
-0.586586083960176,region,48,3
1.01795079924067,region,49,3
0.366567269250281,region,50,3
-0.132421376920288,region,51,3
1.29366671846394,region,52,3
0.407988400614117,region,53,3
0.594859898892771,region,54,3
2.03633172951264,region,55,3
1.74544194462943,region,56,3
0.44157202093354,region,57,3
0.149776514088577,region,58,3
0.781784784353729,region,59,3
-0.849197188275959,region,60,3
-0.327130414196319,region,61,4
0.969108942661357,region,63,4
1.73478476349049,region,64,4
1.90610517471517,region,67,4
1.20241364715179,region,70,4
-0.0884075645751453,region,73,4
0.7280239943221,region,74,4
0.57874782434538,region,76,4
1.0415799124656,region,77,4
0.88189629563622,region,78,4
-0.620314012351821,region,82,4
0.823589467733355,region,84,4
1.17053746582695,region,85,4
-0.478164853503521,region,87,4
0.859564460011175,region,88,4
0.216709539838353,region,89,4
1.01469540514418,region,90,5
1.13469151512766,region,92,5
1.42566890320125,region,94,5
0.348257863661857,region,97,5
0.679344553613155,region,98,5
1.87022860415088,region,99,5
0.120262671540563,region,101,5
1.83552496301833,region,102,5
1.30018097968526,region,103,5
0.662010422393599,region,104,5
0.224896574096487,region,108,5
-0.729385488004733,region,111,5
