painRating,studyId
43.1,1
56,1
38.4,1
26.5,1
55.1,1
38.2,1
63.8,1
41.1,1
45.3,1
69.8,1
40.7,1
36.6,1
74.4,1
39.1,1
52.2,1
65.8,1
61.5,1
74.6,1
33.3,1
75.2,1
69.9,1
43,1
54.7,1
43.4,1
75.3,1
58,1
30.7,1
34.6,1
26.1,1
26,1
58.6,1
26,1
37,1
68.7,1
40.9,1
64,1
73.1,1
45.3,1
39,1
28.4,1
78.5,1
58.5,1
32.7,1
55.5,1
43.8,1
42.1,1
27.8,1
36.8,1
38.4,1
61.4,1
59.3,1
23.4,1
26.7,1
38.8,1
39.3,1
62.5,1
41.1,1
49.7,1
64.8,1
69.9,1
47.5,1
52.1,1
74.7,1
37.5,1
44.3,1
75.7,1
43.5,1
76.5,1
45.6,1
38.3,1
35,1
43.3,1
73.1,1
37.9,1
43.9,1
40.4,1
22.7,1
41.1,1
28.6,1
34.9,1
25.4,1
19.5,1
42.3,1
46.1,1
20.6,1
22.8,1
21.7,1
38,1
41.4,1
42.1,1
25.6,1
36.4,1
40.3,1
50.3,1
24.4,1
25.4,1
41.3,1
46,1
29.9,1
48.1,1
42.6,1
50.7,1
29.8,1
26.4,1
24.5,1
38.3,1
48.4,1
42,1
27.5,1
35.2,1
33.8,1
23.9,1
50,1
41.1,1
32.2,1
25.6,1
36.1,1
40.7,1
43,1
42.9,1
37.3,1
27.2,1
26.3,1
44.2,1
23.3,1
24.9,1
40.7,1
25.1,1
48.6,1
21.1,1
22.5,1
26.8,1
24.2,1
47.5,1
44.8,1
30.2,1
26.1,1
40.6,1
50.3,1
30.2,1
25.8,1
47.5,1
34.7,1
29.3,1
48.8,1
44,1
42.9,1
22.7,1
48.2,1
42.3,1
36.3,1
25.9,1
40.3,1
26.5,1
39.9,1
43.7,1
52.4,1
19,1
16.6,1
52.1,1
41.3,1
33.5,1
62.9,1
36.4,1
60.3,1
26.1,1
30.6,1
26.3,1
36,1
53.8,1
59.9,1
26.8,1
51.9,1
30.8,1
18.3,1
37.8,1
34.2,1
20.8,1
15.1,1
25.4,1
14.9,1
32.9,1
51.3,1
35.2,1
68,1
71,1
51.8,1
29.9,1
51.5,1
51.7,1
65.6,1
52.8,1
66.2,1
37.9,1
30.8,1
59.4,1
30.4,1
37.8,1
59,1
55.2,1
45.8,1
32.7,1
38.9,1
30.2,1
25.1,1
18.2,1
18.1,1
52.9,1
62.5,1
26.1,1
34.5,1
38.6,1
26,1
63.7,1
62.9,1
48.2,1
51.5,1
65.9,1
27.7,1
24.3,1
18.6,1
23.6,1
62.6,1
59.6,1
17.9,1
17.3,1
51.4,1
58.4,1
51.7,1
39.3,1
25.5,1
38.7,1
59.8,1
31.2,1
57.4,1
52.4,1
75.7,1
66.7,1
51.7,1
42.9,1
36.9,1
45.7,1
61.6,1
66.4,1
56,1
34.2,1
68.2,1
56.5,1
64.8,1
34,1
67,1
57.5,1
63.5,1
23.9,1
27.5,1
29.3,1
45,1
56,1
61.3,1
58.7,1
40.8,1
61.6,1
74,1
36.7,1
44.6,1
68,1
59.6,1
47.2,1
69.3,1
41.7,1
50.5,1
43.8,1
71.1,1
59,1
45.7,1
63.1,1
59.1,1
43.6,1
68.9,1
77.3,1
39,1
39.5,1
47.3,1
52.6,1
58,1
41.4,1
48.7,1
58.4,1
64.8,1
74.3,1
70.6,1
51.5,1
59.6,1
43.1,1
75.8,1
76.3,1
53,1
30.6,1
52.5,1
21.6,1
77.3,1
72,1
56.4,1
37.1,1
65.4,1
55.6,1
50.5,1
47.9,1
68.5,1
25.3,1
37.9,1
60,1
36.7,1
67,1
65.2,1
53.4,1
79.4,1
80.3,1
70.7,1
69,1
51.1,1
52.1,1
55.1,1
50.4,1
43.6,1
62.8,1
58.7,1
53.7,1
60.2,1
58.5,1
59,1
53.4,1
50.2,1
60.3,1
46.1,1
53,1
51.7,1
50,1
52.7,1
65.5,1
57.1,1
56.1,1
53.5,1
56.9,1
61,1
71.8,1
55.1,1
68.7,1
53.2,1
55.3,1
77.3,1
75.2,1
49.9,1
46.3,1
51.5,1
46.5,1
74.3,1
68.8,1
65.8,1
74,1
56.5,1
45.5,1
52.5,1
52.3,1
49.4,1
41.8,1
50.3,1
51.2,1
57.5,1
68.5,1
65.2,1
59.3,1
52.5,1
51.3,1
62.5,1
48.7,1
62.8,1
61.5,1
52.4,1
38.8,1
50.9,1
38.2,1
54.4,1
47.5,1
35.3,1
17.6,1
23.4,1
23,1
36.6,1
37,1
25.4,1
30.3,1
37.8,1
27.1,1
26.5,1
24.1,1
19.1,1
15.7,1
30.2,1
