painLessTaskZFisherR,model,validationStudyId
-0.457226560913718,region,1
0.0263954695369617,region,1
0.564252511039789,region,1
0.515760224862937,region,1
0.319503764003187,region,1
-0.549937349523121,region,1
0.170298802102935,region,1
0.776097479099822,region,1
0.0347909639421031,region,1
-0.100479994534147,region,1
0.396995617421767,region,1
0.149831251527587,region,1
0.843396173266677,region,1
0.425060509756562,region,1
0.349326047391718,region,1
0.622876927047579,region,1
0.584951290290226,region,1
0.268755065739208,region,1
-0.501335025890455,region,1
0.24802920348749,region,1
-0.266109278848547,region,1
0.815767287995706,region,1
0.224414900574793,region,1
-0.137868034677794,region,1
-0.0133171281887454,region,1
0.1607533562069,region,1
1.01423299677405,region,1
0.239405098432043,region,1
-0.485342392774755,region,1
0.63955940648639,region,1
0.0374449810242962,region,1
0.0267910105793625,fRSN,1
0.301995911732471,fRSN,1
0.324582888048888,fRSN,1
0.322984524057435,fRSN,1
0.115049585457031,fRSN,1
-0.0745749325960516,fRSN,1
0.178206025103406,fRSN,1
0.507514247056514,fRSN,1
-0.0574151519967031,fRSN,1
-0.0253797602066046,fRSN,1
0.064519457142434,fRSN,1
-0.00596939057259038,fRSN,1
0.26020725006525,fRSN,1
0.470700599005529,fRSN,1
0.35209625417377,fRSN,1
0.272520443245493,fRSN,1
0.304532366480767,fRSN,1
0.607222212211517,fRSN,1
-0.211509686454219,fRSN,1
0.418147135305495,fRSN,1
0.148419329768473,fRSN,1
0.0293257670277456,fRSN,1
0.15547788400295,fRSN,1
0.172575215943708,fRSN,1
-0.0968288239411579,fRSN,1
0.32544440458334,fRSN,1
0.448197688192495,fRSN,1
-0.171256848998295,fRSN,1
0.099658386311424,fRSN,1
0.504824307135523,fRSN,1
0.265700137811057,fRSN,1
-0.0902777057409333,cRSN,1
0.677094363668445,cRSN,1
0.489010290022659,cRSN,1
0.00373827200903815,cRSN,1
0.025834914408693,cRSN,1
0.0617718554928199,cRSN,1
0.0719639460231641,cRSN,1
0.473019848968895,cRSN,1
0.298453715557841,cRSN,1
